40
000
Nr;x-Wert;y-Wert
1;30;16
2;20;25
3;20;47
4;36;48
5;34;37
6;37;22
7;42;32
8;44;49
9;51;36
10;48;19
11;28;30
12;27;41
13;65;69
14;59;74
15;51;87
16;48;80
17;71;74
18;65;81
19;60;90
20;70;91
21;72;83
22;80;75
23;81;88
24;76;89
25;75;70
26;86;80
27;86;24
28;85;42
29;96;51
30;95;38
31;89;32
32;83;51
33;87;48
34;79;34
35;79;27
36;95;26
37;101;33
38;93;45
39;49;26
40;77;40
99
39;65;99
40;67;89
41;67;69
42;67;48
43;78;48
44;79;73
45;78;92
46;89;96
47;91;73
