50
000
Nr;x-Wert;y-Wert
1;45;31
2;35;50
3;32;73
4;36;99
5;44;119
6;55;126
7;66;124
8;61;102
9;52;79
10;55;56
11;65;42
12;70;28
13;95;68
14;82;70
15;85;89
16;106;103
17;99;88
18;92;78
19;107;70
20;108;91
21;94;95
22;68;113
23;77;126
24;55;115
25;49;105
26;46;96
27;42;83
28;41;73
29;42;61
30;46;50
31;51;41
32;60;33
33;44;41
34;36;62
35;69;35
36;76;35
37;82;34
38;76;28
39;56;27
40;88;29
41;75;116
42;86;124
43;72;133
44;80;78
45;82;135
46;102;82
47;99;74
48;109;80
49;34;84
50;86;65
